Name,Age,Purpose,Depature,Destination,PeriodOfStay
정유이,41,other,incheon,osaka,33
권단비,25,tourism,incheon,tokyo,13
성지안,5,tourism,jeju,osaka,31
제도경,21,business,jeju,osaka,59
승하민,47,tourism,incheon,osaka,57
선승윤,50,business,busan,tokyo,35
금서진,34,tourism,incheon,tokyo,88
두세빈,80,business,jeju,fukuoka,12
탁다빈,72,business,jeju,osaka,89
구태환,57,business,jeju,osaka,89
양재희,9,business,gimpo,tokyo,38
전유안,55,tourism,busan,saporo,30
유채영,80,business,jeju,osaka,12
팽은유,72,tourism,gimpo,osaka,42
안서율,45,business,busan,osaka,21
성성우,44,other,jeju,tokyo,56
사준희,46,tourism,incheon,osaka,4
여라온,26,tourism,busan,osaka,72
조연우,70,business,gimpo,fukuoka,3
맹현우,18,tourism,incheon,fukuoka,49
음서정,2,other,jeju,fukuoka,75
홍지효,36,business,busan,fukuoka,2
목이현,16,tourism,gimpo,saporo,75
승시안,52,tourism,incheon,fukuoka,35
위민서,80,other,gimpo,tokyo,17
맹시우,24,other,gimpo,tokyo,6
민세준,79,tourism,busan,saporo,23
장우성,6,tourism,jeju,saporo,86
어준현,6,business,gimpo,fukuoka,36
반은우,7,tourism,incheon,saporo,53
염재현,77,tourism,gimpo,saporo,15
문소담,53,other,busan,tokyo,20
인재준,60,other,gimpo,tokyo,11
홍도율,67,other,jeju,saporo,62
임주하,71,business,busan,fukuoka,67
피현호,63,business,gimpo,tokyo,55
소하준,48,other,jeju,osaka,46
백예원,12,tourism,gimpo,saporo,48
최지온,55,business,busan,tokyo,48
가정민,79,other,gimpo,fukuoka,39
선진호,41,other,busan,tokyo,8
금주은,7,business,jeju,saporo,37
변단우,7,business,busan,tokyo,87
유준형,11,tourism,busan,saporo,57
지설아,15,tourism,incheon,osaka,6
강아준,31,other,gimpo,saporo,21
시윤재,42,other,busan,saporo,1
형건희,52,tourism,jeju,tokyo,4
은민정,16,other,jeju,saporo,61
박유민,34,business,incheon,osaka,70
당민서,40,other,busan,saporo,63
권서현,53,tourism,incheon,osaka,48
주민서,44,other,jeju,osaka,58
감예원,41,business,busan,saporo,88
허은찬,56,other,jeju,saporo,9
온다율,2,tourism,incheon,fukuoka,82
최예준,65,business,busan,osaka,29
심민찬,78,tourism,incheon,tokyo,65
하재이,25,tourism,jeju,fukuoka,6
권유경,51,tourism,busan,fukuoka,3
피로운,56,tourism,busan,tokyo,24
권민건,18,tourism,gimpo,tokyo,74
류채윤,68,tourism,busan,osaka,21
용지온,80,business,busan,tokyo,35
최서영,13,business,gimpo,saporo,11
모나현,34,tourism,busan,osaka,11
도한별,57,other,busan,fukuoka,58
갈하음,60,business,gimpo,tokyo,25
박하랑,52,tourism,incheon,tokyo,73
기효원,43,other,incheon,saporo,6
조도원,48,business,jeju,osaka,41
송리아,2,tourism,jeju,tokyo,24
차지현,39,business,incheon,fukuoka,5
여재이,51,other,incheon,osaka,71
나현,0,tourism,jeju,tokyo,49
여하리,17,other,jeju,osaka,66
유여진,30,business,incheon,tokyo,85
빈도율,61,other,busan,tokyo,28
위재호,19,tourism,incheon,tokyo,58
피해인,48,other,gimpo,saporo,81
황민경,50,business,incheon,fukuoka,4
고승주,41,business,jeju,saporo,71
한성원,58,tourism,jeju,tokyo,7
제선우,26,tourism,busan,osaka,57
용이한,71,tourism,jeju,osaka,74
조순기,61,business,jeju,saporo,19
이하늘,43,business,busan,osaka,14
옥시윤,39,tourism,gimpo,fukuoka,49
옥성훈,3,tourism,gimpo,saporo,67
길지수,26,business,gimpo,fukuoka,70
제라온,61,other,jeju,osaka,2
추도윤,58,tourism,incheon,osaka,76
육하엘,76,business,gimpo,osaka,40
부윤진,50,other,gimpo,saporo,2
연단아,26,other,busan,osaka,6
차나영,38,other,jeju,fukuoka,49
송다경,7,business,gimpo,tokyo,25
송도윤,32,tourism,busan,tokyo,67
정소은,28,other,incheon,saporo,21
황아연,55,business,incheon,tokyo,88
가세빈,10,tourism,busan,osaka,22
왕도율,31,tourism,busan,fukuoka,55
호수정,36,business,jeju,fukuoka,84
옥재호,28,other,jeju,osaka,83
류정원,76,tourism,incheon,osaka,14
음지연,38,tourism,incheon,osaka,9
라다인,19,business,busan,fukuoka,27
원규리,31,other,gimpo,fukuoka,39
엄지유,64,business,busan,fukuoka,30
빈소희,68,other,busan,tokyo,40
음서원,33,business,incheon,osaka,47
추시우,67,other,jeju,saporo,83
김현우,30,tourism,incheon,fukuoka,7
염새봄,72,other,jeju,saporo,74
지다인,60,business,gimpo,osaka,66
천주안,5,other,gimpo,saporo,52
음호진,24,business,busan,saporo,6
예주호,14,business,jeju,fukuoka,90
왕나은,12,business,jeju,osaka,18
홍수현,54,tourism,busan,fukuoka,57
지윤호,41,tourism,gimpo,tokyo,56
한수빈,13,business,incheon,saporo,19
김영준,11,business,gimpo,fukuoka,32
부유빈,54,other,jeju,fukuoka,20
강예서,54,other,gimpo,tokyo,65
한단아,61,tourism,busan,tokyo,66
안태오,60,tourism,busan,fukuoka,50
안정후,80,other,jeju,tokyo,8
호지호,35,business,incheon,saporo,77
라강현,19,tourism,busan,saporo,5
시가영,25,business,busan,tokyo,11
천하엘,38,business,busan,saporo,8
곽정은,76,other,gimpo,tokyo,21
박수진,14,tourism,busan,fukuoka,14
조하윤,59,business,incheon,tokyo,66
함윤성,36,other,busan,osaka,81
송하진,71,tourism,gimpo,osaka,58
조은성,67,business,jeju,tokyo,68
경라온,47,tourism,jeju,fukuoka,3
한도윤,24,other,gimpo,osaka,4
위지아,57,business,gimpo,osaka,78
김단우,28,business,busan,tokyo,74
지준희,67,other,gimpo,fukuoka,42
국아린,25,other,jeju,saporo,68
백나연,46,other,incheon,osaka,20
윤설,40,business,busan,saporo,62
지승현,64,business,jeju,saporo,48
금예린,72,other,busan,fukuoka,31
심다온,70,business,incheon,fukuoka,21
노가연,56,tourism,gimpo,fukuoka,1
성정민,24,other,gimpo,saporo,14
부민솔,63,other,gimpo,fukuoka,80
어은수,54,other,busan,osaka,6
권민결,69,business,busan,tokyo,49
시지우,38,tourism,gimpo,fukuoka,64
공우준,32,tourism,busan,saporo,71
탁혜빈,68,business,incheon,osaka,23
곽은호,71,other,jeju,osaka,14
천영준,13,tourism,jeju,fukuoka,74
모승연,77,tourism,incheon,fukuoka,10
이호준,27,other,incheon,tokyo,51
강사랑,34,tourism,busan,saporo,68
강시아,26,other,incheon,tokyo,52
간라온,17,other,jeju,osaka,5
빈시아,72,other,incheon,osaka,16
형도연,28,tourism,incheon,tokyo,24
두재은,11,tourism,gimpo,tokyo,32
피윤서,69,tourism,incheon,osaka,7
황현준,15,tourism,busan,osaka,79
심지훈,46,other,incheon,fukuoka,46
권주원,56,other,busan,tokyo,43
함원준,47,tourism,incheon,fukuoka,87
은유정,11,tourism,gimpo,fukuoka,73
안우현,59,other,busan,saporo,87
추이현,59,business,jeju,fukuoka,9
이재이,27,business,jeju,osaka,24
맹라엘,59,other,jeju,osaka,21
추하준,11,other,busan,fukuoka,38
양민아,26,other,jeju,osaka,79
갈지영,40,other,busan,osaka,72
목시준,6,other,busan,tokyo,87
맹이서,19,business,jeju,tokyo,32
은솔,20,tourism,busan,saporo,9
호찬,8,business,gimpo,tokyo,65
상지율,66,other,incheon,fukuoka,45
라수정,26,other,jeju,fukuoka,71
금주원,41,other,incheon,saporo,20
노혜정,56,tourism,busan,saporo,6
고서진,37,business,incheon,saporo,12
하서원,66,other,busan,osaka,8
허순기,25,tourism,gimpo,saporo,15
하민재,9,other,incheon,osaka,39
라서원,34,business,busan,fukuoka,58
경아린,71,tourism,busan,tokyo,76
당하람,64,business,gimpo,fukuoka,17
방서현,23,tourism,gimpo,tokyo,59
차지영,9,business,gimpo,fukuoka,81
용승민,8,other,gimpo,osaka,11
석도하,4,other,incheon,fukuoka,89
단슬아,80,tourism,gimpo,saporo,63
서아준,45,other,incheon,fukuoka,2
장연수,48,business,gimpo,tokyo,83
나아영,40,tourism,busan,fukuoka,55
맹도아,4,other,jeju,osaka,32
갈채이,58,business,gimpo,osaka,22
용태현,59,tourism,jeju,fukuoka,57
맹해인,79,tourism,gimpo,tokyo,52
정세아,46,business,gimpo,tokyo,8
국채이,46,other,incheon,fukuoka,20
마지후,32,other,busan,osaka,26
복연주,76,other,gimpo,saporo,68
경아름,6,tourism,busan,osaka,43
표루아,37,business,busan,saporo,87
원우진,8,other,incheon,tokyo,44
허효은,78,business,busan,tokyo,47
남현우,51,other,busan,fukuoka,76
홍태연,1,other,jeju,osaka,24
주민경,44,business,busan,fukuoka,50
강서호,51,other,jeju,osaka,15
봉현준,21,tourism,gimpo,saporo,68
봉준후,29,other,gimpo,saporo,29
최도겸,28,tourism,incheon,osaka,64
고승재,40,tourism,gimpo,saporo,51
신재은,49,business,busan,tokyo,85
편지유,16,other,jeju,osaka,77
육솔,17,other,incheon,osaka,75
홍지원,6,tourism,jeju,fukuoka,50
고가온,46,business,incheon,saporo,63
여은율,30,other,incheon,saporo,89
간우성,21,other,busan,saporo,10
승율,29,tourism,incheon,tokyo,63
권하민,73,other,incheon,saporo,18
석서우,67,business,gimpo,saporo,49
주지은,76,tourism,gimpo,fukuoka,58
온이안,16,tourism,busan,tokyo,51
육소담,63,other,gimpo,fukuoka,61
배도은,13,business,incheon,fukuoka,40
태한울,44,other,incheon,osaka,38
장소영,14,other,gimpo,osaka,75
양이현,37,business,incheon,fukuoka,18
견시현,49,tourism,busan,tokyo,54
도제인,58,business,jeju,osaka,77
기승준,53,business,gimpo,fukuoka,26
임태훈,26,tourism,incheon,tokyo,84
표성진,40,other,jeju,saporo,21
설시훈,53,business,incheon,fukuoka,20
선태리,59,tourism,gimpo,tokyo,2
방시아,73,business,gimpo,fukuoka,83
시윤건,29,other,gimpo,saporo,73
단연준,61,tourism,busan,fukuoka,30
송아연,11,other,incheon,tokyo,6
전효준,24,business,incheon,fukuoka,64
시호진,77,tourism,gimpo,fukuoka,52
동은혜,75,business,busan,saporo,42
여효주,19,business,busan,fukuoka,1
공서윤,4,business,incheon,tokyo,6
엄하성,5,business,incheon,osaka,38
곽동현,18,other,jeju,osaka,10
부동준,77,business,busan,tokyo,2
빈유나,3,other,incheon,tokyo,32
손다원,11,other,incheon,osaka,84
강경민,19,business,gimpo,tokyo,85
빈가을,6,other,incheon,saporo,36
전강민,66,business,jeju,tokyo,2
류한별,69,other,incheon,saporo,11
현나영,44,other,busan,fukuoka,30
기요한,43,other,gimpo,osaka,5
임경민,20,business,incheon,fukuoka,43
육채현,8,business,gimpo,osaka,19
두효주,50,tourism,incheon,fukuoka,59
양지은,42,tourism,gimpo,osaka,76
제준영,67,other,incheon,tokyo,83
빈도희,63,other,jeju,tokyo,13
견이서,70,other,incheon,osaka,3
위지웅,27,other,gimpo,fukuoka,61
전예림,42,tourism,busan,fukuoka,53
온민정,53,other,jeju,osaka,24
임세준,10,business,gimpo,osaka,79
연아준,7,business,busan,fukuoka,43
상다연,14,tourism,jeju,osaka,69
복다경,57,tourism,incheon,osaka,53
석하온,76,other,incheon,saporo,53
강동윤,17,tourism,jeju,osaka,11
신승아,67,other,gimpo,tokyo,57
옥민성,17,other,busan,osaka,39
염율,74,tourism,incheon,saporo,46
경시윤,76,tourism,incheon,tokyo,83
피진호,2,other,busan,fukuoka,78
인세빈,21,other,gimpo,osaka,40
가준우,60,business,gimpo,fukuoka,2
국아현,78,other,jeju,osaka,7
공민솔,52,tourism,incheon,fukuoka,28
강효원,66,business,busan,osaka,11
주라온,27,tourism,gimpo,saporo,38
목상윤,7,tourism,busan,fukuoka,45
팽윤서,78,other,busan,tokyo,26
목수현,67,tourism,gimpo,osaka,66
제세은,62,tourism,busan,saporo,77
도소영,73,business,jeju,osaka,14
엄현우,52,other,jeju,fukuoka,17
조찬희,61,other,gimpo,tokyo,85
복서인,9,other,busan,osaka,14
문가온,67,other,gimpo,fukuoka,17
안승연,49,tourism,gimpo,tokyo,71
반도연,36,other,incheon,fukuoka,89
상세현,23,business,jeju,fukuoka,66
여원준,51,tourism,busan,saporo,6
복민경,65,tourism,jeju,saporo,57
소한율,40,other,incheon,osaka,6
엄다은,80,other,incheon,fukuoka,30
민준혁,53,tourism,busan,osaka,84
정세은,76,tourism,incheon,saporo,8
민현빈,79,tourism,gimpo,saporo,89
용윤호,62,other,gimpo,tokyo,5
추시원,43,other,busan,fukuoka,5
양하음,1,other,jeju,osaka,51
홍도준,60,other,busan,fukuoka,30
송도영,38,tourism,gimpo,tokyo,76
남수빈,46,other,busan,fukuoka,87
승주연,74,tourism,incheon,saporo,41
동채윤,37,other,gimpo,osaka,72
정연호,44,business,incheon,fukuoka,80
빈선율,45,other,incheon,tokyo,2
편민규,79,business,incheon,osaka,78
길규현,67,tourism,busan,fukuoka,32
명민성,46,tourism,busan,osaka,9
명채린,36,business,busan,fukuoka,33
박유민,51,business,gimpo,fukuoka,61
형지영,29,business,incheon,fukuoka,67
남동훈,22,business,jeju,osaka,7
시지윤,24,business,jeju,tokyo,65
주윤재,38,tourism,incheon,saporo,78
방재훈,77,business,jeju,saporo,73
노서율,38,tourism,busan,osaka,66
송솔,10,other,gimpo,tokyo,4
곽재윤,46,tourism,gimpo,osaka,44
공혜린,76,other,gimpo,saporo,84
백연주,18,tourism,gimpo,fukuoka,19
함주완,41,other,incheon,saporo,33
어은우,8,other,incheon,osaka,49
길유빈,54,tourism,incheon,saporo,14
추유진,40,other,busan,fukuoka,26
황서린,38,other,gimpo,fukuoka,32
남재인,49,other,gimpo,osaka,63
빈솔,57,tourism,jeju,fukuoka,35
차도영,35,tourism,busan,tokyo,53
설규리,7,other,busan,tokyo,54
표재원,47,business,incheon,osaka,6
엄소율,51,business,jeju,fukuoka,46
예지인,3,business,busan,osaka,40
전현승,49,business,busan,osaka,34
복지원,11,business,gimpo,osaka,90
손나영,22,business,gimpo,fukuoka,76
성지인,48,business,jeju,tokyo,30
용다인,39,other,gimpo,osaka,36
두유준,51,other,jeju,osaka,27
천규빈,56,other,jeju,osaka,71
방지혁,78,tourism,incheon,tokyo,67
고온유,19,tourism,busan,saporo,87
장윤,47,other,gimpo,saporo,10
탁하늘,24,other,gimpo,osaka,75
용재하,4,other,jeju,osaka,2
상세빈,18,other,gimpo,saporo,66
우정원,53,tourism,busan,tokyo,54
예민혁,79,tourism,gimpo,fukuoka,28
승소영,75,other,incheon,fukuoka,46
길정민,55,other,gimpo,saporo,33
