name,gender,salary,departments,position
석재율,female,3973,advertising,manager
문우찬,female,20607,marketing,assistant
피태희,male,29855,advertising,header
금서빈,male,21667,advertising,assistant
김태연,male,20272,advertising,assistant
감세아,female,23757,design,assistant
권우주,female,12091,marketing,assistant
남동우,female,20155,marketing,manager
최소현,male,5696,marketing,intern
왕도겸,female,21207,marketing,assistant
채루아,male,6635,design,intern
노동준,male,13766,design,assistant
동윤서,male,13615,marketing,manager
지윤슬,male,12254,marketing,assistant
구지온,male,25711,marketing,manager
사서율,female,10408,marketing,assistant
한하민,female,22555,design,assistant
우예주,male,20961,marketing,assistant
어태현,male,18575,marketing,header
조재민,male,7410,marketing,assistant
예지오,male,5966,marketing,manager
성태이,male,19485,marketing,manager
장시율,female,29314,advertising,manager
은정연,female,27007,design,header
한성민,male,16506,marketing,assistant
목하진,male,25750,marketing,assistant
백성원,female,16027,marketing,manager
김시환,female,9682,marketing,intern
소채원,female,8511,advertising,header
천서하,male,20358,marketing,assistant
성아인,male,6185,advertising,assistant
온준,female,9031,IT,assistant
성수현,male,10459,advertising,assistant
부연주,female,13229,marketing,assistant
추라온,male,17096,marketing,intern
기지연,female,28177,advertising,assistant
권우빈,male,29250,marketing,header
맹채은,male,6719,design,assistant
편예림,male,4113,advertising,intern
심채린,male,13896,design,assistant
제서하,female,3649,marketing,assistant
팽준성,male,10936,marketing,intern
어나연,female,11492,marketing,assistant
노윤채,female,4187,marketing,assistant
최규현,female,9072,design,manager
양민우,male,24681,design,assistant
선지연,female,21691,IT,assistant
빈현우,female,18109,advertising,manager
손민채,male,5877,marketing,assistant
여민정,female,24517,finance,assistant
맹지우,female,17238,marketing,assistant
공연우,male,18144,marketing,intern
왕재호,female,28537,IT,header
천서하,male,21866,marketing,manager
서선우,female,5030,design,manager
주상우,female,21344,marketing,assistant
안하온,male,29752,marketing,assistant
장태경,female,29736,marketing,manager
감지혁,male,4894,design,assistant
신진혁,male,22535,marketing,intern
배채원,male,8584,marketing,assistant
맹서정,female,7606,advertising,manager
여다원,female,8242,advertising,manager
홍연우,female,17252,IT,header
유시호,male,21068,IT,assistant
모지우,male,9193,marketing,manager
배민주,male,14615,marketing,intern
채연호,male,28096,IT,assistant
오서원,female,16914,marketing,assistant
승라엘,male,21083,finance,manager
빈지수,male,3236,advertising,header
양성현,male,28539,marketing,assistant
맹시준,male,24682,design,header
간연우,female,12387,IT,intern
공다희,male,28225,IT,assistant
봉아라,male,19885,marketing,assistant
손예찬,male,28118,IT,manager
원예지,female,18944,advertising,manager
연아연,male,10646,advertising,assistant
심소율,female,19858,marketing,intern
윤소정,male,21768,design,intern
엄산,male,3562,marketing,manager
공규빈,male,24386,finance,assistant
장준수,female,25244,IT,manager
방선율,female,12632,marketing,assistant
도연재,female,23019,marketing,assistant
설예원,male,28127,IT,manager
배주희,male,5493,marketing,manager
진시원,male,29025,finance,manager
우주아,male,29382,advertising,assistant
백효주,male,17894,advertising,assistant
동시현,male,14238,marketing,header
모은혜,female,4013,marketing,assistant
구서율,male,18959,marketing,assistant
배가은,male,16031,advertising,assistant
